Class;Min.;1st Qu.;Median;Mean; 3rd Qu.;Max.; 
$meanfreq;0.03936;0.16366;0.18484;0.18091;0.19915;0.25112;
$sd;0.01836;0.04195;0.05916;0.05713;0.06702;0.11527;
$median;0.01097;0.16959;0.19003;0.18562;0.21062;0.26122;
$Q25;0.0002288;0.1110865;0.1402864;0.1404556;0.1759388;0.2473469;
$Q75;0.04295;0.20875;0.22568;0.22476;0.24366;0.27347;
$IQR;0.01456;0.04256;0.09428;0.08431;0.11418;0.25223;
$skew;0.1417;1.6496;2.1971;3.1402;2.9317;34.7255;
$kurt;2.068;5.670;8.319;36.569;13.649;1309.613;
$sp.ent;0.7387;0.8618;0.9018;0.8951;0.9287;0.9820;
$sfm;0.03688;0.25804;0.39634;0.40822;0.53368;0.84294;
$mode;0.0000;0.1180;0.1866;0.1653;0.2211;0.2800;
$centroid;0.03936;0.16366;0.18484;0.18091;0.19915;0.25112;
$meanfun;0.05557;0.11700;0.14052;0.14281;0.16958;0.23764;
$minfun;0.009775;0.018223;0.046110;0.036802;0.047904;0.204082;
$maxfun;0.1031;0.2540;0.2712;0.2588;0.2775;0.2791;
$meandom;0.007812;0.419828;0.765795;0.829211;1.177166;2.957682;
$mindom;0.004883;0.007812;0.023438;0.052647;0.070312;0.458984;
$maxdom;0.007812;2.070312;4.992188;5.047277;7.007812;21.867188;
$dfrange;0.000;2.045;4.945;4.995;6.992;21.844;
$modindx;0.00000;0.09977;0.13936;0.17375;0.20918;0.93237;
